survey_title,target_audience,survey_id,section_id,section_title,item_id,column_name,label,type,scale,options,dimension,required,label_en,source,frames,name_in_frames,numeric_column,numeric_coding,notes
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,demographics,Identificação,consent,demographics.consent,Termo de Consentimento,checkbox,,Concordo em participar,,True,Consent form,questionnaire,df_t,df_t: demographics.consent,,,Constant (all consented).
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,demographics,Identificação,full_name,demographics.full_name,Nome Completo,text,,,,True,Full name,questionnaire,df_t,df_t: demographics.full_name_pratica,,,Direct identifier: drop before sharing or analysis. Suffix _pratica because the same field exists in the QoL inventory.
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,demographics,Identificação,birth_date,demographics.birth_date,Data de Nascimento,date,,,,True,Date of birth,questionnaire,df_t,df_t: demographics.birth_date_pratica,,,Direct identifier: drop before sharing or analysis. Suffix _pratica because the same field exists in the QoL inventory.
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,demographics,Identificação,contact,demographics.contact,Contato (Telefone ou E-mail),text,,,,True,Contact (phone or e-mail),questionnaire,df_t,df_t: demographics.contact_pratica,,,Direct identifier: drop before sharing or analysis. Suffix _pratica because the same field exists in the QoL inventory.
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,demographics,Identificação,time_in_education,demographics.time_in_education,Tempo que atua na educação,select,,até 1 ano | De 1 a 3 anos | De 3 a 6 anos | De 6 a 9 anos | De 9 a 12 anos | De 12 a 15 anos | acima de 15 anos,,True,Time working in education,questionnaire,df_t,df_t: demographics.time_in_education_pratica,,,Suffix _pratica because the same field exists in the QoL inventory.
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,demographics,Identificação,class_evaluated,demographics.class_evaluated,Turma avaliada,class_select,,,,True,Class evaluated,questionnaire,df_t,df_t: demographics.class_evaluated,,,Platform class id of the class the teacher rated. Equals the students' class_id: join teachers to students by class (DA - Professor Student).
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,initial_questions,Perguntas Iniciais,q_1,initial_questions.q_1,"Você já recebeu treinamento específico para trabalhar com alunos neurodiversos? (ex. com TEA, TDAH e outros quadros)",select,,Sim | Não,Experiências como professor,True,"Have you received specific training to work with neurodiverse students (e.g., ASD, ADHD and other conditions)?",questionnaire,df_t,df_t: initial_questions.q_1,initial_questions.q_1_num,Sim = 1; Não = 0,NA for teachers who answered only the QoL inventory (has_pratica = FALSE).
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,initial_questions,Perguntas Iniciais,q_2,initial_questions.q_2,Com que frequência você se sente confiante em lidar com situações de regulação emocional em sala?,select,,Nunca | Raramente | Às vezes | Frequentemente | Sempre,Experiências como professor,True,How often do you feel confident handling emotional regulation situations in the classroom?,questionnaire,df_t,df_t: initial_questions.q_2,initial_questions.q_2_num,Nunca = 1; Raramente = 2; Às vezes = 3; Frequentemente = 4; Sempre = 5,NA for teachers who answered only the QoL inventory (has_pratica = FALSE).
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,initial_questions,Perguntas Iniciais,q_3,initial_questions.q_3,Quais ferramentas de comunicação você usa para feedback?,select,,Conversas individuais | Comentários escritos | Aplicativo de comunicação | Outro,Experiências como professor,True,Which communication tools do you use for feedback?,questionnaire,df_t,df_t: initial_questions.q_3,,,NA for teachers who answered only the QoL inventory (has_pratica = FALSE).
INVENTÁRIO DE PRÁTICA PEDAGÓGICA E PERFIL DA TURMA,Professores,5cb54fe0-a8f4-46be-861e-6eb6b03940d3,initial_questions,Perguntas Iniciais,q_4,initial_questions.q_4,Com que frequência você promove debates em sala de aula?,select,,Semanalmente | Mensalmente | Raramente | Nunca.,Experiências como professor,True,How often do you promote debates in the classroom?,questionnaire,df_t,df_t: initial_questions.q_4,,,NA for teachers who answered only the QoL inventory (has_pratica = FALSE).
